date,total_amount,is_holiday
6/17/2018,19011.31,0
6/18/2018,37701.61,0
6/19/2018,38889.93,0
6/20/2018,33498.33,0
6/21/2018,30000.53,0
6/22/2018,26789.25,0
6/23/2018,19031.45,0
6/24/2018,26009.06,0
6/25/2018,40159.93,0
6/26/2018,35936.52,0
6/27/2018,28572.42,0
6/28/2018,34244.98,0
6/29/2018,22098.6,0
6/30/2018,16152.29,0
7/1/2018,27847.95,0
7/2/2018,27392.06,0
7/3/2018,30043.68,0
7/4/2018,38574.99,0
7/5/2018,35404.87,0
7/6/2018,19399.41,0
7/7/2018,10132.38,0
7/8/2018,15420.5,0
7/9/2018,20016.96,1
7/10/2018,19572.52,0
7/11/2018,20084.63,0
7/12/2018,20315.87,0
7/13/2018,30245.39,0
7/14/2018,21509.74,0
7/15/2018,41390.66,0
7/16/2018,31688.58,0
7/17/2018,31049.53,0
7/18/2018,46426.04,0
7/19/2018,42929.92,0
7/20/2018,34808.14,0
7/21/2018,22194.68,0
7/22/2018,28637.24,0
7/23/2018,43984.31,0
7/24/2018,41864.93,0
7/25/2018,41237.82,0
7/26/2018,39979.17,0
7/27/2018,30593.89,0
7/28/2018,30925.64,0
7/29/2018,31031.31,0
7/30/2018,40003.5,0
7/31/2018,52926.51,0
8/1/2018,44047.22,0
8/2/2018,41294.7,0
8/3/2018,44563.28,0
8/4/2018,37203.41,0
8/5/2018,38313.65,0
8/6/2018,64198.59,0
8/7/2018,60200.48,0
8/8/2018,51027.79,0
8/9/2018,42938.31,0
8/10/2018,34610.1,0
8/11/2018,28470.55,0
8/12/2018,34846.21,1
8/13/2018,40742.12,0
8/14/2018,48410.04,0
8/15/2018,47874.8,0
8/16/2018,38221.43,0
8/17/2018,32341.87,0
8/18/2018,24690.51,0
8/19/2018,27725.76,0
8/20/2018,37165.77,0
8/21/2018,27743.2,0
8/22/2018,22096.86,0
8/23/2018,18154.58,0
8/24/2018,10351.58,0
8/25/2018,10891.4,0
8/26/2018,8526.19,0
8/27/2018,5542.9,0
8/28/2018,4088.37,0
8/29/2018,2670.54,0
